url,page_type,current_primary_intent,target_query_or_need,gsc_or_other_evidence,action,reason,title_or_snippet_hypothesis,content_evidence_gap,technical_issue,internal_link_sources,internal_link_targets,conversion_next_step,priority,owner,acceptance_test,review_at_days
"https://yujihealth.com/","home","B2B OEM 供应商发现和品牌信任","feminine care OEM manufacturer China; yuji china; brand sourcing start","GSC 28d: 53 impressions, position 5.74, 0 clicks","UPDATE","首页已有曝光但无点击，需要把品牌介绍改造成明确采购任务入口。","保持品牌词清晰，但 snippet 突出 cups/discs/pads/OEM/证据/RFQ 的下一步；一次只测一个变量","3M+、30+ 等累计数字需与 About 口径一致；缺可复核证据链接","无；已收录","nav/footer; /about/; /quality/evidence/","/contact/; /products/; /quality/evidence/","点击 Request quote 或进入证据包","P1","SEO + Content","28 天窗口 clicks/CTR 或 Contact arrival/RFQ 有变化；无来源数字已清理","30"
"https://yujihealth.com/products/","product_hub","产品线和采购比较","feminine care OEM product line; private label product categories","GSC 28d 无 page 行；URL Inspection PASS","UPDATE","产品 hub 已收录但需承载跨品类选择任务，并去掉无来源统计。","snippet 强调 cups/discs/pads 三类采购入口，不写绝对百分比","80% new buyers 无来源；产品对比缺少证据下载","无；已收录","home; nav/footer; applications; about","/products/menstrual-cups/; /products/menstrual-discs/; /products/pads-liners/; /resources/best-feminine-care-private-label/","选择品类后进入对应 RFQ","P2","Content + Product","无来源统计已删除；资源 hub 新卡可链接到该页","60"
"https://yujihealth.com/products/menstrual-cups/","product_page","月经杯 OEM 采购","menstrual cup OEM; yuji cup; menstrual cup MOQ","GSC 28d: 18 impressions, position 20.00, 0 clicks; yuji cup 7 impressions pos 6","UPDATE","产品页已收录但 position 20 且 0 clicks，需强化采购任务和证据。","snippet 保留 cup OEM 但加入 trial MOQ、包装、证据路径；单变量测试","90% first order 无来源；缺少公开脱敏证据链接","无；已收录","home; products; resources/sourcing guide","/resources/how-to-choose-menstrual-cup-oem/; /resources/menstrual-cup-oem-moq/; /quality/evidence/; /contact/?product=Menstrual+Cup","选择 cup RFQ 或下载证据清单","P1","Content + Product","无来源统计已删除；28 天 clicks/CTR 有可观测变化","60"
"https://yujihealth.com/products/menstrual-discs/","product_page","经期盘 OEM 采购","menstrual disc OEM; menstrual disc MOQ; cup vs disc","GSC 28d: 3 impressions, position 9.00, 0 clicks; URL Inspection PASS","UPDATE","页面已收录且位置靠近机会区，需要更强任务证据和交叉链接。","snippet 强调 disc 与 cup 的采购差异和 RFQ 输入","disc 页未发现无来源统计，但可增加 MOQ/包装/文件决策表","无；已收录","home; products; cup-vs-disc guide","/resources/menstrual-cup-vs-disc-oem/; /resources/menstrual-disc-oem-moq/; /contact/?product=Menstrual+Disc","进入 disc RFQ","P2","Content + Product","28 天 impressions/clicks 有记录；决策表上线","60"
"https://yujihealth.com/products/pads-liners/","product_page","卫生巾/护垫/配件 OEM 采购","sanitary pad OEM; pads liners private label; pad MOQ","GSC 28d: 10 impressions, position 6.30, 0 clicks","UPDATE","高位曝光但 0 clicks，需移除无来源 bundle 数字并增强任务。","snippet 突出 pad format、packaging、MOQ、文档，不写 20% 结论","20% lead time 无来源；缺公开脱敏文件","无；已收录","home; products; applications; resources/private-label-sanitary-pads-china","/resources/how-to-start-private-label-pad-brand/; /resources/best-sanitary-pad-oem-china/; /quality/evidence/; /contact/?product=Sanitary+Pads","进入 pad RFQ 或下载证据","P1","Content + Product","无来源统计已删除；28 天 CTR/Contact/RFQ 有变化","60"
"https://yujihealth.com/applications/","application_hub","按销售渠道选择采购方案","Amazon menstrual care OEM; DTC private label; distributor feminine care","URL Inspection: Discovered - currently not indexed；无 GSC clicks","UPDATE","未收录 hub，需变成渠道决策页而不是营销标签。","snippet 从四个渠道任务切入：Amazon/DTC/Pharmacy/Distributor","缺实际包装、文档和首单决策示例；无公开证据","Discovered - currently not indexed","nav/footer; products; about; oem-odm; sourcing guide","/products/; /quality/evidence/; /resources/feminine-care-oem-rfq-checklist/; /contact/","选择渠道后进 RFQ","P1","SEO + Content","30 天后 URL Inspection 出现抓取/收录；页面任务可人工复核","60"
"https://yujihealth.com/oem-odm/","service_page","OEM/ODM 工作流和询价准备","feminine care OEM process; ODM private label manufacturing","GSC 28d: 3 impressions, position 7.00, 0 clicks; URL Inspection PASS","UPDATE","页面已收录，需把流程说明与可下载证据、RFQ 收口。","snippet 强调从 brief 到 export handoff 的流程和 RFQ 输入","流程说明充分，但缺少真实阶段示例/脱敏文件","无；已收录","nav/footer; home; products; applications","/applications/; /quality/evidence/; /resources/feminine-care-oem-rfq-checklist/; /contact/","进入 OEM RFQ","P2","Content + Product","28 天数据可比较；证据链接有效","60"
"https://yujihealth.com/quality/","quality_hub","质量和合规核验","feminine care manufacturer quality system; ISO 13485 supplier China; YUJI certificates","GSC 28d: 6 impressions, position 3.67, 0 clicks","UPDATE","高位 0 clicks，质量表达偏“边界说明”，缺少可执行证据。","snippet 突出可下载证据、QC 字段样例和 RFQ 文档路径","可公开证书/测试/QC 证据不足；需与 Best 页口径统一","无；已收录","nav/footer; about; products; applications","/quality/evidence/; /resources/feminine-care-oem-rfq-checklist/; /contact/","下载证据或发起文档审查","P1","Quality/Compliance + Content","声明统一；evidence 链接可下载；28 天 clicks/CTR 有变化","60"
"https://yujihealth.com/quality/evidence/","evidence_page","采购前证据申请和核验","menstrual cup OEM certificates; sanitary pad QC records; YUJI evidence pack","URL Inspection: Discovered - currently not indexed；页面已有下载结构","UPDATE","未收录证据页，发布脱敏文件并强化可见任务后观察。","snippet 从“可以请求”改为“可下载/可申请”的文件清单","真实证书/QC/测试脱敏文件 pending","Discovered - currently not indexed","quality; products; about; resources; oem-odm","/downloads/yuji-feminine-care-oem-line-sheet.pdf; /downloads/yuji-qc-release-checklist-sample.txt; /contact/?product=OEM%2FODM+mixed+program","下载文件或发起文档审查","P1","Quality/Compliance + Dev + Content","30 天内上线批准文件；60 天复测收录","60"
"https://yujihealth.com/about/","about","品牌实体和公司信任","yuji corp; Xi'an Yuji Biotechnology; YUJI manufacturer","GSC 28d: 21 impressions, position 11.29, 0 clicks","UPDATE","About 有曝光但无点击，需加强公司可核验性并修正数字口径。","snippet 强调 Xi'an manufacturer、产品范围、证据和 RFQ","3M+ 和 16 Patents 只有“Reported/on file”，缺公开核验口径","无；已收录","nav/footer; home; products; resources","/products/; /applications/; /quality/evidence/; /contact/","从 About 进入产品/证据/RFQ","P2","Content + Quality/Compliance","数字口径与首页/中文一致；28 天 clicks/CTR 可比较","60"
