url,page_type,current_primary_intent,target_query_or_need,gsc_or_other_evidence,action,reason,title_or_snippet_hypothesis,content_evidence_gap,technical_issue,internal_link_sources,internal_link_targets,conversion_next_step,priority,owner,acceptance_test,review_at_days
"https://yujihealth.com/","home","B2B manufacturer overview and product routing","feminine care OEM manufacturer; YUJI manufacturer","28d page: 83 impressions, 0 clicks, position 10.67; indexed PASS","UPDATE","Page-one-push opportunity, but production statistics and ISO/market claims need approved evidence before CTR work.","Feminine Care OEM Manufacturer | Cups, Discs & Pads | YUJI","Approved sources for 3M+, 30+ markets, factory/cleanroom scope, and product claims are missing from public evidence.","No crawl block; production differs from local candidate copy.","About; Products; Quality; Resources","/products/menstrual-cups/; /products/menstrual-discs/; /products/pads-liners/; /quality/evidence/; /contact/","Choose product, review evidence, then submit RFQ.","P1","Content + Quality/Compliance + SEO","All retained claims map to approved records; one-variable snippet baseline is logged; CTA and Contact events are measurable.","60"
"https://yujihealth.com/products/","product_hub","Compare product families and route to a product RFQ","feminine care product manufacturer; cups discs pads private label","28d page: 3 impressions, 0 clicks, position 179; indexed PASS","UPDATE","The hub has weak visibility and production includes an unsupported 80% new-buyer claim.","Feminine Care OEM Product Lines | Cups, Discs, Pads & Accessories","No approved source for 80%; accessories, wipes, pouches, and cleaning-kit boundaries need a buyer-ready matrix.","No indexability issue; low search visibility.","Home; Applications; OEM/ODM; Chinese Products","/products/menstrual-cups/; /products/menstrual-discs/; /products/pads-liners/; /resources/best-feminine-care-private-label/; /contact/","Select a category and open the matching RFQ.","P2","Content + Product + Quality/Compliance","Unsupported percentage is removed or sourced; visible product matrix matches ItemList; next steps are crawlable.","60"
"https://yujihealth.com/products/menstrual-cups/","product_page","Evaluate menstrual cup OEM capability","menstrual cup OEM manufacturer; yuji cup; menstrual cup MOQ","28d page: 26 impressions, 1 click, CTR 3.85%, position 19.96; indexed PASS","UPDATE","The first site click landed here, but production uses an unsupported 90% bundle statistic and regulatory evidence is request-only.","Menstrual Cup OEM Manufacturer | 1,000-pc Trial MOQ | YUJI","Approved material, biocompatibility, quality-system, packaging, and regulatory-scope evidence is incomplete publicly.","No crawl issue; live is HEAD and local candidate removal is not deployed.","Home; Products; Cup Sourcing Guide; How-to-Choose","/resources/menstrual-cup-oem-moq/; /resources/how-to-choose-menstrual-cup-oem/; /quality/evidence/; /contact/?product=Menstrual%20Cup","Review specification and evidence inputs, then request sample or quote.","P1","Content + Product + Quality/Compliance","90% claim is removed or evidenced; buyer specification table is accurate; 28-day click and qualified-RFQ baseline is captured.","60"
"https://yujihealth.com/products/menstrual-discs/","product_page","Evaluate menstrual disc OEM capability","menstrual disc OEM manufacturer; menstrual disc MOQ","28d page: 9 impressions, 0 clicks, position 18.00; indexed PASS","UPDATE","Page-one-push candidate with enough relevance for an evidence refresh, not a new page.","Menstrual Disc OEM Manufacturer | Private Label & MOQ Planning","Public dimensional, material, packaging, testing, and document-scope evidence is limited.","No crawl or canonical issue.","Home; Products; Cup-vs-Disc; Disc MOQ","/resources/menstrual-disc-oem-moq/; /resources/menstrual-cup-vs-disc-oem/; /quality/evidence/; /contact/?product=Menstrual%20Disc","Choose disc specification and request sample or quote.","P2","Content + Product + Quality/Compliance","Decision table and evidence boundaries are visible; internal path and conversion events pass review.","60"
"https://yujihealth.com/products/pads-liners/","product_page","Evaluate sanitary pad, liner, wipe, pouch, and accessory OEM scope","sanitary pad OEM manufacturer China; private label pads; pad materials","28d page: 14 impressions, 0 clicks, position 22.43; indexed PASS","UPDATE","Content-gap-review candidate; production has an unsupported 20% lead-time claim and weak material evidence.","Sanitary Pad & Liner OEM Manufacturer | Private Label Programs","No public approved material-stack, absorbency-test, QC, packaging, or claim-scope evidence; accessory scope is broad.","No indexability issue.","Home; Products; Applications; Private-label Pads Guide","/resources/private-label-sanitary-pads-china/; /resources/how-to-start-private-label-pad-brand/; /quality/evidence/; /contact/?product=Sanitary%20Pads","Define market, format, materials, pack count, and volume before RFQ.","P1","Content + Product + Quality/Compliance","20% claim is removed or sourced; material/specification matrix is approved; pad RFQ can be traced to qualification.","60"
"https://yujihealth.com/applications/","application_hub","Choose a sourcing approach by channel or buyer type","retail; distributor; DTC; institutional feminine care sourcing","URL Inspection: URL unknown to Google; 24 unique internal source pages in local graph","UPDATE","Discovery links already exist, so the page needs a genuinely distinct channel decision job rather than more generic copy.","Feminine Care OEM by Sales Channel | Retail, DTC & Distribution","Needs first-party channel examples, packaging gates, documentation differences, order-planning limits, and an institutional procurement path.","Not indexed: URL unknown to Google.","Home; Products; OEM/ODM; About; product pages","/products/; /quality/evidence/; /resources/feminine-care-oem-rfq-checklist/; /contact/","Select channel constraints and send a scoped RFQ.","P1","SEO + Content + Sales","Page has a unique channel matrix and approved examples; 30/60-day inspection is recorded without repeated index requests.","60"
"https://yujihealth.com/oem-odm/","service_page","Understand OEM/ODM workflow and RFQ inputs","feminine care OEM process; private label manufacturing workflow","28d page: 2 impressions, 0 clicks, position 8.00; indexed PASS","KEEP","Current intent is clear; avoid changing a low-volume page until measurement and evidence dependencies are fixed.","Keep current title; test only after enough impressions and trusted events.","Needs a real, approved stage example or redacted handoff artifact before substantive expansion.","No crawl issue.","Home; Products; Applications; About","/applications/; /quality/evidence/; /resources/feminine-care-oem-rfq-checklist/; /contact/","Prepare brief and submit OEM/ODM RFQ.","P2","Content + Operations","No unsupported claims; workflow links and RFQ route work; page is monitored in the 28-day scorecard.","60"
"https://yujihealth.com/quality/","quality_hub","Evaluate quality controls and document categories","feminine care manufacturer quality; YUJI certificates; ISO 13485 supplier","28d page: 12 impressions, 0 clicks, position 6.08; indexed PASS","UPDATE","CTR-test candidate, but quality-system, ISO Class 7, and certification-category claims need exact scope and public proof first.","Quality Controls & Buyer Evidence | YUJI Feminine Care OEM","Approved certificate scopes, issuing entities, validity, test summaries, and real QC records are not public.","No crawl issue; claim accuracy is the blocker.","Home; About; Products; OEM/ODM; Chinese Quality","/quality/evidence/; /resources/feminine-care-oem-rfq-checklist/; /contact/?product=OEM%2FODM%20mixed%20program","Review public evidence, then request the project-specific pack.","P1","Quality/Compliance + Legal + Content","Claim register and public evidence are approved; snippet test changes one variable; Contact and evidence events are measurable.","60"
"https://yujihealth.com/quality/evidence/","evidence_hub","Review public evidence and request project-specific records","menstrual product OEM evidence pack; QC records; certificate scope","URL Inspection: discovered, currently not indexed; 26 local internal sources","UPDATE","A request-only hub is not a strong proof asset; indexing and buyer trust share the same evidence dependency.","OEM Quality Evidence Pack | Documents, Scope & Review Status","Approved redacted certificate covers, real QC release samples, test summaries, owners, versions, and withdrawal dates are absent.","Discovered but not indexed.","Home; Quality; About; Products; Resources; OEM/ODM","/downloads/yuji-feminine-care-oem-line-sheet.pdf; /resources/feminine-care-oem-rfq-checklist/; /contact/?product=OEM%2FODM%20mixed%20program","Download approved evidence or request a scoped document review.","P1","Quality/Compliance + Legal + Content + Dev","At least one approved evidence set is public and versioned; download/request events work; 30/60-day inspection is recorded.","60"
"https://yujihealth.com/about/","about_page","Verify company entity and manufacturing profile","Xi'an Yuji Biotechnology; YUJI manufacturer; yuji corp","28d page: 22 impressions, 0 clicks, position 10.86; indexed PASS","UPDATE","Page-one-push opportunity, but 3M+, 16 IP assets, 45-person team, 30+ markets, factory and cleanroom figures need approved sources.","About YUJI | Xi'an Feminine Care OEM Manufacturer","Public entity registration, facility evidence, team scope, export-market definition, shipment methodology, and IP records are incomplete.","No crawl issue; production and local candidate differ.","Home; navigation; Products; Resources","/products/; /applications/; /quality/evidence/; /contact/","Verify entity and evidence, then enter the relevant product path.","P1","Content + Operations + Quality/Compliance","Every company number maps to approved evidence or is removed; the page names entity, address scope, and evidence review route.","60"
"https://yujihealth.com/resources/","resource_hub","Navigate buyer guides by procurement task","menstrual product OEM buyer resources; RFQ checklist; supplier evaluation","URL Inspection: discovered, currently not indexed; 24 local internal sources","UPDATE","The hub needs a unique guided taxonomy and complete visible/schema synchronization; local candidates are not production.","Feminine Care OEM Buyer Resources | RFQ, MOQ & Supplier Checks","Needs clear task groupings, maintenance owner, source dates, and links to approved evidence instead of a flat content list.","Discovered but not indexed.","Home; Products; About; Quality; Evidence","/resources/feminine-care-oem-rfq-checklist/; /resources/how-to-choose-menstrual-cup-oem/; /resources/how-to-start-private-label-pad-brand/; /quality/evidence/; /contact/","Choose task, complete guide, then download checklist or RFQ.","P1","SEO + Content","Visible cards, ItemList, titles, and internal links agree; three task clusters are distinct; 30/60-day inspection is recorded.","60"
"https://yujihealth.com/resources/menstrual-cup-oem-sourcing-guide/","article","Quickly screen a menstrual cup supplier","menstrual cup OEM sourcing guide; supplier screening","28d page: 1 impression, 0 clicks, position 10.00; indexed PASS","UPDATE","Separate this quick-screen role from the longer How-to-Choose process and remove blanket regulatory language.","Menstrual Cup OEM Sourcing Guide | 6 Supplier Screening Checks","Needs approved screening evidence, limitations, official regulatory sources, and a clear distinction from the detailed workflow page.","Possible intent overlap with How-to-Choose; no technical block.","Products/Cups; Resources; Cup MOQ; How-to-Choose","/resources/how-to-choose-menstrual-cup-oem/; /resources/menstrual-cup-oem-moq/; /quality/evidence/; /contact/","Use the quick screen, then open detailed due diligence or RFQ.","P2","SEO + Content + Quality/Compliance","First screen, H1, and section outline are distinct from How-to-Choose; regulatory copy passes review.","60"
"https://yujihealth.com/resources/menstrual-cup-vs-disc-oem/","comparison_article","Compare cup and disc OEM program choices","menstrual cup vs menstrual disc OEM","28d page: 4 impressions, 0 clicks, position 6.50; indexed PASS","KEEP","Intent is distinct and current volume is below the CTR-test threshold; preserve baseline and improve evidence links only.","Keep current comparison positioning; no title test yet.","Comparison criteria need approved source/measurement notes and product evidence links.","No crawl issue.","Products/Cups; Products/Discs; Applications; Resources","/products/menstrual-cups/; /products/menstrual-discs/; /quality/evidence/; /contact/","Choose cup or disc program and continue to the matching RFQ.","P2","Content + Product","No unsupported comparison claim; evidence and product links work; baseline is reviewed at 60 days.","60"
