id,priority,category,finding_type,observation,evidence,evidence_grade,affected_scope,business_impact,impact_score,confidence,effort,risk,recommended_action,owner,dependencies,acceptance_test,rollback,review_at_days,status
"YSEO-001","P0","measurement","OBSERVATION","Production serves config/analytics.json with enabled=true while the same file note says to keep it disabled until account and privacy approval; no Plausible, GA4, CRM, Resend delivery, or sales export was available to prove collection or outcomes.","Live config/analytics.json equals HEAD; assets/main.js; api/contact.js; repository search found no analytics/CRM delivery export","A","All organic landing and RFQ reporting","The team cannot reliably connect search impressions or clicks to contact arrival, delivery, qualification, samples, quotes, or wins.","5","High","S","Low","Verify the analytics account, domain, privacy position, and current event receipt before interpreting any conversion result.","Data/Operations + Legal","Plausible or GA4 access; owner decision on privacy and consent","A dated test record proves page view and RFQ events reach the approved account without PII, or analytics is explicitly disabled and Privacy is aligned.","Set analytics enabled=false and remove only unverified event loading; preserve the form and email path.","14","blocked_external_access"
"YSEO-002","P0","measurement","RECOMMENDATION","Implement a minimum auditable funnel with separate definitions for organic_landing, product_cta, contact_arrival, rfq_start, rfq_submit_client, rfq_delivered, qualified_rfq, sample_request, quote_sent, and won_project.","assets/main.js currently fires only RFQ Submit after HTTP 200; api/contact.js does not persist a provider delivery id or sales qualification","A","All B2B acquisition reporting","Creates a decision-grade link from SEO entry to commercial outcome and prevents impressions from being used as a sales proxy.","5","High","M","Medium","Instrument approved non-PII events and a private operational record for provider acceptance and sales qualification; publish a 28-day scorecard.","Data/Operations + Dev + Sales","YSEO-001; event dictionary; CRM or controlled sheet; approved test recipient","A controlled test traces one inquiry through every applicable stage and a 28-day export segments landing page, source, product, country, and outcome.","Disable new events and remove the new operational fields while retaining the current form delivery path.","30","open"
"YSEO-003","P1","trust_compliance","OBSERVATION","Production contains unsupported operational percentages and broad regulatory statements: 90% cup bundle uptake, 80% single-line starts, 20% lead-time reduction, 3M+ shipments, 16 IP assets, blanket FDA/510(k)/CE recommendations, and ISO/cleanroom claims without public scope evidence.","Local implementation on 2026-08-10 revised 19 high-risk content pages and aligned the Chinese Home, Products, and Quality claim boundaries; docs/evidence/evidence-manifest.csv records pending facility, shipment/market, silicone, and product-by-market review evidence; the full 30-URL claim scan passed locally. Not yet deployed and source approvals remain pending.","A","Home, About, Products, Quality, priority resource guides, and Chinese pages","Unverifiable or overbroad statements can reduce buyer trust, create compliance risk, and make snippets or external distribution unsafe.","5","High","M","High","Create an approved claim register; remove or qualify any claim without entity, scope, source, jurisdiction, validity period, and public-use approval.","Quality/Compliance + Legal + Content","Current certificates, test files, operational source data, and owner approval","A claim scan and manual review find no unsupported percentage, certification, approval, registration, or market requirement; every retained high-risk claim maps to an approved record.","Restore the prior copy from a content backup only after Compliance approves the old wording.","14","in_progress"
"YSEO-004","P1","trust_compliance","RECOMMENDATION","Rewrite regulatory guidance by product and intended use instead of presenting FDA registration, 510(k), or CE marking as universal requirements.","Current FDA and EU official guidance verified 2026-08-10; every identified local regulatory section now states intended-use and classification dependencies, explains that registration/listing is not FDA approval and CE marking applies only when specific EU legislation requires it, and uses official-source links. The full 30-URL wording scan passed locally; Compliance/legal review and deployment remain pending.","A","Regulatory sections and FAQs across Quality, product, and priority resource pages","Accurate buyer guidance can become a trust advantage and avoids steering buyers toward the wrong document pack.","5","High","M","Medium","Replace blanket rules with a market-review workflow, link current official sources, state intended-use dependencies, and require Compliance review dates.","Quality/Compliance + Legal + Content","YSEO-003; target-market legal review","Each affected page names product category, intended-use dependency, official source, review date, and owner; no page says FDA-approved based on registration or CE-required for all products.","Revert only the reviewed paragraph set; keep a dated copy of the prior wording for comparison.","30","in_progress"
"YSEO-005","P1","evidence_asset","OBSERVATION","The Quality Evidence page is primarily a request path; public assets are a line sheet, RFQ checklist, and illustrative QC checklist, while approved redacted certificate scope, test summaries, and real QC release samples are absent.","/quality/evidence/; downloads/; docs/seo/authority-growth-weekly-2026-07-27.md","A","Quality, About, product pages, editorial distribution, and buyer due diligence","Buyers and editors have little independent evidence to verify, cite, or use before submitting an RFQ.","5","High","M","Medium","Publish at least one approved, redacted, versioned evidence set with scope, issuer, entity, dates, limitations, and a clear illustrative/real label.","Quality/Compliance + Operations + Legal","Source files; redaction review; public-use approval","The evidence page exposes approved files without personal/customer data; each file has scope, issue/expiry or review date, owner, and withdrawal process.","Unpublish the file and remove its card while preserving the evidence request path.","45","blocked_owner_evidence"
"YSEO-006","P1","evidence_asset","RECOMMENDATION","Make /quality/evidence/ a mixed public-evidence and request-more hub, then connect it from Home, About, Quality, Products, Resources, and RFQ flows.","YSEO-005; local candidate content exists but is not production; current URL Inspection is not indexed","A","Evidence hub and all high-intent pages","A verifiable asset can improve buyer confidence, linkability, and qualification quality without promising ranking or indexing.","5","High","M","Medium","Use the implementation specification in the main report and release only Compliance-approved files and copy.","Quality/Compliance + Content + Dev","YSEO-003 to YSEO-005","Approved assets are crawlable, downloadable, tracked without PII, and linked in context; 30/60-day inspection and buyer-use metrics are recorded.","Remove assets and contextual links; retain the prior evidence request content.","60","open"
"YSEO-007","P1","crawl_index","OBSERVATION","Current URL Inspection shows 27 of 30 URLs submitted and indexed; /applications/ is unknown to Google, while /resources/ and /quality/evidence/ are discovered but not indexed.","reports/gsc/gsc-inspect-all-2026-08-10T13-57-57-879Z.json","A","Three commercially useful hubs","The three intended navigation and evidence paths cannot currently earn Google search visibility as indexed landing pages.","4","High","M","Low","Give each page a unique buyer job and stronger first-party value; use existing crawlable internal links and observe rather than repeatedly requesting indexing.","SEO + Content + Quality/Compliance","Unique content and evidence approval","At 30 and 60 days URL Inspection records a fetch/index status change or a documented decision to merge/retain; indexing itself is not guaranteed.","Remove only the new modules and links; do not redirect or delete without a separate approved migration plan.","60","open"
"YSEO-008","P1","crawl_index","RECOMMENDATION","Differentiate Applications as a channel decision matrix, Resources as a guided procurement taxonomy, and Quality Evidence as a versioned proof library.","The three pages already have 24-26 unique internal source pages in the local graph, so discovery alone is an incomplete explanation.","A/B","/applications/, /resources/, /quality/evidence/","Improves user value and reduces the risk that these hubs are treated as generic or low-value aggregates.","4","Medium","M","Low","Add unique decisions, examples, limitations, and evidence; keep canonical, sitemap, and internal links stable.","Content + SEO + Quality/Compliance","YSEO-005; buyer examples; approved claims","A reviewer can state a different job-to-be-done for each page; content is not duplicated; crawlable links and schema match visible content.","Restore the prior page sections from version control.","60","open"
"YSEO-009","P1","release_governance","OBSERVATION","Production exactly matches commit b86702b for sampled HTML, sitemap, JS, analytics, and contact files, while the working tree has 18 changed paths including prior SEO candidates and an unrelated deleted gpt-site build file.","curl SHA-1 equals git show HEAD for sampled production files; git status --short; git diff --stat","A","Next implementation batch","A broad deploy could mix approved SEO work with unrelated or unreviewed changes and make rollback ambiguous.","5","High","S","High","Extract approved audit actions into a clean, reviewable batch and explicitly exclude the unrelated deletion and any unsupported candidate copy.","Dev lead + SEO + Quality/Compliance","Owner review of existing dirty worktree","The implementation diff contains only approved files, has a before/after evidence list, passes tests, and can be reverted as one batch.","Revert the dedicated batch only; preserve all pre-existing user work separately.","14","open"
"YSEO-010","P1","release_governance","RECOMMENDATION","Treat existing local SEO edits as candidates, not completed work; compare each against this audit, Compliance approval, live behavior, and a clean deployment plan.","Local edits remove some unsupported claims, add Chinese RFQ form and hub content, but are not live and do not fix every claim such as zh/products 80%.","A","All locally modified SEO pages","Prevents the report from overstating progress and avoids deploying partial or inconsistent corrections.","5","High","S","Low","Build a disposition table: approve, revise, defer, or reject for every dirty SEO file before implementation.","SEO + Dev + Quality/Compliance","YSEO-003; worktree ownership","Every local candidate has an owner decision and no unrelated path enters the implementation batch.","No production rollback; keep candidate changes untouched until an approved batch exists.","14","open"
"YSEO-011","P2","gsc_opportunity","OBSERVATION","GSC date dimension for the latest 28 days reports 140 impressions and 1 click; page dimension reports 220 impressions and 1 click versus 26 impressions and 0 clicks in the previous exact 28-day page window. The sample is still too small for causal CTR conclusions.","reports/gsc/gsc-query-date-2026-07-11-to-2026-08-07-2026-08-10T13-38-18-224Z-94719.json; current and previous page reports","A","Organic search performance","The site has emerging visibility and its first recorded click, but not a stable acquisition channel.","4","High","S","Low","Preserve dimension-specific baselines and refresh only pages that pass the opportunity rubric; do not combine page and date totals.","SEO/Data","28-day review cadence","Monthly report labels dimension and window, separates brand/non-brand, and never treats average position as a fixed rank.","No site rollback; revert only individual content tests.","30","monitor"
"YSEO-012","P2","content_refresh","RECOMMENDATION","Prioritize Home, Contact, Quality, RFQ Checklist, About, Cup page, Cup MOQ, and Disc MOQ for evidence/intent review; run snippet tests only after claims and measurement are trustworthy.","Opportunity scorer categories: Home page-one-push; Contact, Quality, RFQ, Disc MOQ, yuji cup, Cup MOQ ctr-test; Cup page page-one-push","A","Eight high-value pages","Uses existing visibility instead of creating thin new pages and makes low-volume tests interpretable.","4","High","M","Low","Change one snippet or first-screen hypothesis at a time, log baseline and guardrails, and review after at least 28 days with low-volume caution.","SEO + Content + Data","YSEO-001 to YSEO-004","Before/after version, window, impressions, clicks, CTR, Contact arrival, and RFQ quality are documented; unsupported claims are absent.","Restore the prior title, description, or section from version control.","60","open"
"YSEO-013","P2","internal_links","OBSERVATION","The production HEAD graph has three true HTML orphans: Best Feminine Care Private Label, How to Choose Menstrual Cup OEM, and How to Start Private Label Pad Brand. The two other Best pages have one unique source each. Local candidate edits improve these counts to 2-3 but are not production.","Read-only graph generated from git show HEAD for all 30 configured pages; separate current-working-tree graph","A","Five newer Best/HowTo articles","Sitemap-only discovery and weak contextual paths make the articles harder to find and less useful in buyer journeys.","4","High","S","Low","Add a small number of contextual links from the closest product, comparison, and resource pages with user-task anchors.","SEO + Content","Page-role map; YSEO-009 release governance","Every priority resource has at least two semantically relevant production source pages and reciprocal next-step links; links are crawlable a[href].","Remove the contextual links only.","30","open"
"YSEO-014","P2","internal_links","RECOMMENDATION","Use the source-to-target map in the report and keep navigation, breadcrumbs, and visible ItemList content synchronized.","Current Resources candidates are stronger locally than production; structured data must match visible cards.","A","Resource, product, evidence, and RFQ paths","Improves buyer navigation without treating link count as an objective.","3","High","S","Low","Review each link for placement context, anchor clarity, and buyer value; reject sitewide exact-match additions.","SEO + Content","YSEO-010","Automated crawl and manual review agree on destinations and no broken or misleading anchors are introduced.","Revert the link additions.","30","open"
"YSEO-015","P2","structured_data","OBSERVATION","All local JSON-LD parses, but 25 pages use FAQPage and two use HowTo; Google no longer shows HowTo rich results and normally limits FAQ rich results to authoritative government and health sites.","Local implementation removed invisible FAQPage blocks from 12 pages, removed redundant HowTo markup from How-to-Choose, and synchronized retained FAQ answers with visible copy. The full 30-URL JSON-LD parse and FAQ parity audit passed locally; deployment remains pending.","A","FAQ and HowTo schema across the 30-URL sitemap","Schema maintenance does not currently create a defensible rich-result opportunity and can distract from evidence and content accuracy.","3","High","S","Low","Keep only accurate, visible, maintainable schema; do not promise rich results or add unsupported types.","SEO + Dev + Content","Visible content parity","Rich Results/JSON validation passes, schema text matches visible content, and reports make no rich-result guarantee.","Restore the previous JSON-LD block if a validated type regresses.","90","in_progress"
"YSEO-016","P3","structured_data","RECOMMENDATION","Review Product and Organization fields for public evidence, and consider removing redundant FAQ/HowTo markup where maintenance cost exceeds semantic value.","Product schema exists on three product pages; FAQPage appears on policy pages as well as commercial pages.","A","Product pages, policy pages, and resource templates","Reduces stale or misleading markup risk while preserving useful entity and breadcrumb signals.","2","Medium","M","Low","Inventory each schema type, owner, source field, and visible-content dependency before removal.","SEO + Dev","YSEO-003; schema inventory","No structured field contains an unapproved claim; remaining markup validates and matches the page.","Reinsert the previous validated JSON-LD.","90","open"
