id,priority,category,finding_type,observation,evidence,evidence_grade,affected_scope,business_impact,impact_score,confidence,effort,risk,recommended_action,owner,dependencies,acceptance_test,rollback,review_at_days,status
"B-001","P0","measurement","OBSERVATION","仓库没有 Plausible/GA4/CRM/邮件送达/CDN 日志报告；config/analytics.json 当前 enabled=true，privacy 也声明 analytics 已启用，但实际账号和采集无法验证。","config/analytics.json; privacy/index.html; assets/main.js; api/contact.js; docs/seo/analytics-setup-2026-07-26.md","A","全站 SEO 到 RFQ 测量链路","无法证明搜索点击、站内行为、表单、送达、qualified RFQ 的关系，增长动作无法归因和迭代。","5","High","S","Low","先验证 Plausible 账号/域名/事件，再接入 CRM 或邮件日志，定义 qualified RFQ 字段。","Data/Operations","Plausible 或 GA4 账号权限、CRM/邮件后台权限、Privacy 文案确认","28 天内能导出 landing/contact/RFQ delivered/qualified RFQ 至少 28 天数据。","将 analytics enabled 改回 false 并同步 Privacy；不影响表单。","30","open"
"B-002","P0","measurement","RECOMMENDATION","建立并验证最小站内漏斗：landing -> CTA -> contact arrival -> RFQ submit -> email delivered -> qualified RFQ。","B-001 证据; assets/main.js 的 RFQ Submit event; api/contact.js 的 Resend delivery","A","全站 B2B 获客","把 SEO 从曝光指标连接到业务结果，避免继续用 impressions 判断成功。","5","High","M","Low","定义事件、字段、口径和负责人后接入后台，并在报告页做 28 天基线。","Data/Operations + SEO","账号授权、事件定义、CRM 字段","能按页面/来源/国家输出 28 天漏斗，不再把 impression 当转化。","删除或停用事件即可；保留表单原逻辑。","30","open"
"B-003","P0","conversion","OBSERVATION","中文 /zh/contact/ 只有 mailto:info@yujihealth.com，没有结构化表单、没有前端事件、没有送达确认。","zh/contact/index.html; rg 扫描未发现 data-inquiry-form","A","中文询盘路径","中文搜索和引荐即使到达联系页也无法被站内测量，qualified RFQ 流失。","5","High","M","Low","给中文增加结构化询盘表单，或建立明确 mailto 归因和人工记录流程。","Product/Dev + Data","中文销售响应能力、字段/隐私确认","中文询盘可进入与英文一致的 RFQ/送达/qualification 记录。","移除表单或保留 mailto 均可，无外部写入风险。","30","done"
"B-004","P0","conversion","RECOMMENDATION","在中文需求被确认后，用中文字段接入 /api/contact/ 或独立端，并记录 sourcePage、landingPage、campaign。","B-003 证据; assets/main.js 英文表单逻辑","A","/zh/contact/","中文 RFQ 可归因且可复测，避免只靠邮箱正文猜测。","5","High","M","Low","实现前先确认中文询盘量和销售响应，不做自动翻译和假表单。","Product/Dev + Sales","中文销售和隐私确认","中文表单成功提交与英文一样能进入 RFQ delivered 记录。","下线表单保留 mailto，无业务破坏。","60","done"
"B-005","P0","trust-content","OBSERVATION","多个页面出现无来源百分比/累计数字，且 Best 页与 Quality 页的 ISO 表达不一致。","products/menstrual-cups/index.html:212; products/index.html:208; products/pads-liners/index.html:177; about/index.html:168; resources/best-feminine-care-private-label/index.html:177; quality/index.html:93","A","产品页、About、首页、中文首页、Best 页、Quality 页","B2B 买家会核验，声明不一致或无来源会造成信任与合规风险。","5","High","S","High","删除无来源统计或改成可复核口径；统一 ISO/质量声明边界并同步中文。","Content + Quality/Compliance + Legal","质量/法务批准可公开口径","rg 扫描不再发现无来源百分比和绝对 ISO 表述；质量页与 Best 页一致。","按 git 历史恢复原文，但需法务确认。","14","done"
"B-006","P0","trust-content","RECOMMENDATION","建立全站“可公开声明”白名单：数字、证书、市场、客户、专利、产能均须有内部证据或明确口径。","B-005 证据; quality/evidence/index.html","A","全站信任声明","降低合规风险并提升采购核验通过率。","5","High","M","Medium","内容、质量、销售、法务共同确认白名单并写入文档；之后所有新内容按白名单审核。","Content + Quality/Compliance","质量/法务授权","新内容上线前声明检查通过；已有声明 30 天内完成清理。","回滚内容到旧版本即可。","30","in_progress"
"B-007","P1","crawl-index","OBSERVATION","最新 GSC URL Inspection 中 /applications/、/quality/evidence/、/resources/ 仍为 Discovered - currently not indexed。","reports/gsc/gsc-inspect-all-2026-07-29T09-49-28-172Z.json","A","3 个重要 hub","这些页面是需求聚合和 RFQ 路径，未收录会限制长期自然曝光。","5","High","M","Low","差异化每个 hub 的唯一任务，并增加来自已收录产品页/指南页的上下文内链。","SEO + Content","内容批准、文件证据批准","30-60 天后 URL Inspection 至少出现 PASS 或成功抓取；不把请求索引当验收。","移除新增模块/链接即可。","60","in_progress"
"B-008","P1","crawl-index","RECOMMENDATION","不要批量提交索引请求；用 URL Inspection、正文差异化和内链观察 30-60 天后再决定下一步。","B-007 证据; Google URL Inspection 官方用途","A","3 个 hub","避免无意义 GSC 操作，也避免把收录状态当成增长结果。","4","High","S","Low","为 3 个 hub 各写一条任务声明并执行第 16.3 节动作。","SEO","内容交付","30 天记录状态变化；60 天复测。","无部署回滚需求。","60","open"
"B-009","P1","asset","OBSERVATION","/quality/evidence/ 说明可索取文件，但公开样本只有 line sheet、RFQ checklist、illustrative QC 字段样例；真实脱敏证书/QC 文件为 pending。","quality/evidence/index.html; downloads/","A","质量证据、产品页、About 页","请求型证据没有可引用、可下载、可验证资产，权威增长和 RFQ 信任都受限。","5","High","M","Medium","发布经批准的脱敏证书封面/范围、QC 放行样本、测试摘要，并明确每个文件的审核版本和范围。","Quality/Compliance + Operations","质量/法务批准、脱敏审核","文件可下载、页面可见、无敏感数据、无绝对认证表述。","删除文件/卡片即可。","60","open"
"B-010","P1","asset","RECOMMENDATION","将 evidence 页从 request-only 改成 request + public evidence 混合路径，并在产品页、Quality、About、Resources 链接。","B-009 证据; resources/index.html; quality/index.html; about/index.html","A","质量证据路径","为记者、采购和 AI/搜索引用提供可复核事实，同时改善 RFQ 首轮质量。","5","High","M","Medium","按第 16.4 节发布并复测下载/问询。","Quality/Compliance + Content + Dev","文件批准、上传部署","30 天内上线至少一组脱敏文件；60 天记录下载和问询。","文件下架即可，页面结构保留。","60","open"
