"url","language","page_role","primary_buyer_intent","primary_cta","secondary_cta","decision_stage","next_action"
"https://yujihealth.com/","en","brand entry","Assess supplier scope and begin product discovery","/contact/","/products/","discovery","Keep brand/entity/product path clear; do not add unsupported performance claims."
"https://yujihealth.com/products/","en","product hub","Choose a feminine-care category","product family page","/contact/","consideration","Route buyers to one product family before RFQ."
"https://yujihealth.com/products/menstrual-cups/","en","product family","Prepare a menstrual-cup OEM brief","/contact/?product=Menstrual%20cups","/quality/evidence/","consideration","Confirm current SKU-specific material and document scope in quotation."
"https://yujihealth.com/products/menstrual-discs/","en","product family","Prepare a menstrual-disc OEM brief","/contact/?product=Menstrual%20discs","/quality/evidence/","consideration","Confirm current SKU-specific material and document scope in quotation."
"https://yujihealth.com/products/pads-liners/","en","product family","Prepare pads, liners, or accessory assortment brief","/contact/?product=Sanitary%20pads%20and%20liners","/quality/evidence/","consideration","Confirm quoted format, BOM, pack and evidence scope."
"https://yujihealth.com/applications/","en","channel guide","Match product program to sales channel","/contact/?product=OEM%2FODM%20mixed%20program","/products/","consideration","Observe index/crawl state after deployment; do not duplicate channel pages."
"https://yujihealth.com/oem-odm/","en","process page","Understand OEM/ODM workflow","/contact/?product=OEM%2FODM%20mixed%20program","/quality/","consideration","Use a complete brief instead of a generic price request."
"https://yujihealth.com/quality/","en","quality path","Review quality-control and compliance boundaries","/quality/evidence/","/contact/","risk review","Ask which current records match the quoted product."
"https://yujihealth.com/quality/evidence/","en","evidence hub","Request and verify project-specific evidence","/contact/?product=OEM%2FODM%20mixed%20program","/resources/feminine-care-oem-rfq-checklist/","risk review","Observe index/crawl state; publish real files only after approval."
"https://yujihealth.com/about/","en","entity page","Verify company identity and scope","/products/","/contact/","trust","Keep public entity statements aligned with approved evidence."
"https://yujihealth.com/resources/","en","resource hub","Choose a procurement guide","/contact/","resource guide","education","Use buyer paths; observe index/crawl state after deployment."
"https://yujihealth.com/resources/menstrual-cup-oem-sourcing-guide/","en","supplier screen","Screen a cup OEM supplier","/contact/?product=Menstrual%20cups","/quality/evidence/","education","Use for supplier due diligence before RFQ."
"https://yujihealth.com/resources/menstrual-cup-vs-disc-oem/","en","product comparison","Choose cup versus disc as first reusable SKU","/contact/?product=OEM%2FODM%20mixed%20program","/products/","consideration","Carry format decision into RFQ."
"https://yujihealth.com/resources/menstrual-cup-oem-moq/","en","MOQ guide","Understand factors that change cup MOQ","/contact/?product=Menstrual%20cups","/resources/feminine-care-oem-rfq-checklist/","consideration","Request a written SKU-specific MOQ."
"https://yujihealth.com/resources/feminine-care-oem-rfq-checklist/","en","RFQ template","Prepare a comparable RFQ","/contact/?product=OEM%2FODM%20mixed%20program","/quality/evidence/","conversion","Send complete market, product, pack, document and timing inputs."
"https://yujihealth.com/resources/menstrual-disc-oem-moq/","en","MOQ guide","Understand factors that change disc MOQ","/contact/?product=Menstrual%20discs","/resources/feminine-care-oem-rfq-checklist/","consideration","Request a written SKU-specific MOQ."
"https://yujihealth.com/resources/private-label-sanitary-pads-china/","en","pad sourcing guide","Plan a private-label pad program","/contact/?product=Sanitary%20pads%20and%20liners","/quality/evidence/","consideration","Confirm format, pack and evidence scope in quotation."
"https://yujihealth.com/resources/best-menstrual-cup-manufacturers-china/","en","comparison framework","Compare cup suppliers consistently","/contact/?product=Menstrual%20cups","/quality/evidence/","consideration","Use a source-backed supplier comparison, not generic rankings."
"https://yujihealth.com/resources/best-sanitary-pad-oem-china/","en","comparison framework","Compare sanitary-pad OEM suppliers","/contact/?product=Sanitary%20pads%20and%20liners","/quality/evidence/","consideration","Verify documents by quoted SKU and market."
"https://yujihealth.com/resources/best-feminine-care-private-label/","en","comparison framework","Evaluate a cross-category private-label supplier","/contact/?product=OEM%2FODM%20mixed%20program","/quality/evidence/","consideration","Use the framework; do not treat it as a verified market ranking."
"https://yujihealth.com/resources/how-to-choose-menstrual-cup-oem/","en","factory selection guide","Audit a cup OEM decision","/contact/?product=Menstrual%20cups","/quality/evidence/","risk review","Request product-specific source files before relying on claims."
"https://yujihealth.com/resources/how-to-start-private-label-pad-brand/","en","launch guide","Start a private-label pad brief","/contact/?product=Sanitary%20pads%20and%20liners","/resources/feminine-care-oem-rfq-checklist/","education","Move from positioning to structured RFQ."
"https://yujihealth.com/contact/","en","RFQ conversion","Submit an OEM/ODM inquiry","form submit","/resources/feminine-care-oem-rfq-checklist/","conversion","Track accepted and qualified RFQs only in approved systems."
"https://yujihealth.com/privacy/","en","legal","Review data-use terms","none","/contact/","legal","Maintain current privacy boundary."
"https://yujihealth.com/terms/","en","legal","Review site terms","none","/contact/","legal","Maintain current terms."
"https://yujihealth.com/zh/","zh-CN","brand entry","中文了解品牌与产品范围","/zh/contact/","/zh/products/","discovery","保持与英文品牌实体及证据边界一致。"
"https://yujihealth.com/zh/products/","zh-CN","product hub","中文选择产品线","/zh/contact/","/products/","consideration","中文页不新增未经证实的规格或产能。"
"https://yujihealth.com/zh/oem-odm/","zh-CN","process page","中文了解 OEM/ODM 流程","/zh/contact/","/zh/quality/","consideration","收集中文询盘的完整项目输入。"
"https://yujihealth.com/zh/quality/","zh-CN","quality path","中文审核质量与文件边界","/zh/contact/","/quality/evidence/","risk review","按报价产品和市场核验文件。"
"https://yujihealth.com/zh/contact/","zh-CN","RFQ conversion","中文提交询盘","form submit","/resources/feminine-care-oem-rfq-checklist/","conversion","跟踪已接受和合格询盘。"
